name	                                                                         | type	              | in_shapes        | out_shapes	
vlm_with_expert.vlm.model.vision_model.encoder.layers.0.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.0.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.0.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.0.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.0.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.1.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.1.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.1.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.1.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.1.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.1.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.2.self_attn.q_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.2.self_attn.k_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.2.self_attn.v_proj         | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.2.self_attn.out_proj       | Linear             | [(1, 1024, 768)] | [(1, 1024, 768)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.2.mlp.fc1                  | Linear             | [(1, 1024, 768)] | [(1, 1024, 3072)]
vlm_with_expert.vlm.model.vision_model.encoder.layers.2.mlp.fc2                  | Linear             | [(1, 1024, 3072)] | [(1, 1024, 768)]
