strategy,input_m,input_n,input_k,dtype,decision_us,is_fastest
hashmap_27,33,47,45,i8,11.332100257,0
sorted_first_fit,33,47,45,i8,1.012114808,1
preprocessed_map,33,47,45,i8,2.954853699,0
hashmap_27,33,47,45,i16,6.842892617,0
sorted_first_fit,33,47,45,i16,0.491039827,1
preprocessed_map,33,47,45,i16,1.293141395,0
hashmap_27,33,47,45,bf16,6.051966920,0
sorted_first_fit,33,47,45,bf16,0.521074980,1
preprocessed_map,33,47,45,bf16,1.122010872,0
hashmap_27,63,63,63,i8,5.459878594,0
sorted_first_fit,63,63,63,i8,0.590924174,1
preprocessed_map,63,63,63,i8,1.502921805,0
hashmap_27,63,63,63,i16,4.539033398,0
sorted_first_fit,63,63,63,i16,0.330852345,1
preprocessed_map,63,63,63,i16,0.681029633,0
hashmap_27,63,63,63,bf16,4.488043487,0
sorted_first_fit,63,63,63,bf16,0.301050022,1
preprocessed_map,63,63,63,bf16,0.742031261,0
hashmap_27,129,129,129,i8,5.871988833,0
sorted_first_fit,129,129,129,i8,4.288041964,0
preprocessed_map,129,129,129,i8,0.940868631,1
hashmap_27,129,129,129,i16,5.229841918,0
sorted_first_fit,129,129,129,i16,3.877095878,0
preprocessed_map,129,129,129,i16,0.641914085,1
hashmap_27,129,129,129,bf16,5.240086466,0
sorted_first_fit,129,129,129,bf16,4.027970135,0
preprocessed_map,129,129,129,bf16,0.650994480,1
hashmap_27,257,257,257,i8,5.309935659,0
sorted_first_fit,257,257,257,i8,9.407987818,0
preprocessed_map,257,257,257,i8,1.041917130,1
hashmap_27,257,257,257,i16,7.032882422,0
sorted_first_fit,257,257,257,i16,11.181924492,0
preprocessed_map,257,257,257,i16,0.791857019,1
hashmap_27,257,257,257,bf16,4.848930985,0
sorted_first_fit,257,257,257,bf16,10.329997167,0
preprocessed_map,257,257,257,bf16,0.830972567,1
hashmap_27,513,513,513,i8,3.898050636,0
sorted_first_fit,513,513,513,i8,15.330035239,0
preprocessed_map,513,513,513,i8,0.932021067,1
hashmap_27,513,513,513,i16,3.706896678,0
sorted_first_fit,513,513,513,i16,16.401056200,0
preprocessed_map,513,513,513,i16,0.701984391,1
hashmap_27,513,513,513,bf16,3.566965461,0
sorted_first_fit,513,513,513,bf16,13.906043023,0
preprocessed_map,513,513,513,bf16,0.781146809,1
hashmap_27,769,769,769,i8,3.758119419,0
sorted_first_fit,769,769,769,i8,12.533972040,0
preprocessed_map,769,769,769,i8,0.681029633,1
hashmap_27,769,769,769,i16,2.084067091,0
sorted_first_fit,769,769,769,i16,12.614065781,0
preprocessed_map,769,769,769,i16,0.620959327,1
hashmap_27,769,769,769,bf16,2.154149115,0
sorted_first_fit,769,769,769,bf16,11.571915820,0
preprocessed_map,769,769,769,bf16,0.600935891,1
